106-9773339-0473805	1479586250
116-7886881-4203439	0911121013
102-2421377-9515457	128402962X
002-0453952-0906607	0979757541
116-2986788-9205051	1597260932
109-7088785-5448204	162093230X
104-8195264-0898648	0979956277
112-3177872-4241063	1632869462
102-4136112-8232209	1632869462
002-3254350-5187410	087338492X
105-3975393-0055424	1608465764
105-8734483-7102659	4805311746
112-5601000-0388239	1536628352
109-3628704-8645812	1433686597
104-6285404-6090636	024543089292
105-4932034-0124227	1932887342
105-4385185-9578625	0807028029
111-8137360-4115419	1621067386
106-6399370-0340228	1478944714
108-0157160-6352207	1879651351
104-6309614-9666607	883929322558
104-8130132-6694613	0531249808
112-1341903-7798608	0062238477
002-3642349-8157059	1897575629
112-6398571-8026644	0800683250
115-9801932-6043440	3037782250
103-4830620-7641024	1564786919
103-3288072-4326615	1608465764
104-9140047-8054660	1451488947
113-9804284-2081849	814838013312
114-8878803-2014659	1450424465
110-2308952-8167443	1522655557
111-5615825-9726643	0989888215
110-5177764-7617867	886975968527
110-8950394-7851457	1629561436
002-5259222-7905837	1842772430
110-8984348-0890638	876964007979
112-2935080-7205056	876964007979
112-3130461-5839430	1616085436
116-3802317-7446633	098495435X
104-2706936-8713807	1423222687
108-0835739-7361003	0789149397
105-7756139-4828255	1506408478
105-4381295-5514609	602547979629
104-7391864-8145809	1629561436
107-9670845-9078614	1631465805
002-3520225-4149824	0892553480
112-1825982-7189018	024543089292
108-0091273-0787403	082236123X
109-4193195-1561811	0465019323
115-0662133-9636201	189757598X
113-8450725-4365819	1603093958
108-7667241-2857057	1620932229
104-5758992-5105063	0824832701
102-4357050-3613026	1575424169
112-2286042-2466665	0979847508
107-9058871-2176267	0750961899
108-2412990-0973056	888370858X
102-2308531-9569839	1119234603
110-2783366-7197034	0190615656
103-3948664-8963429	0996680330
102-9572702-0437865	067466048X
103-9284549-8144210	1608465764
104-8026274-5849058	1879960850
111-1808169-9325819	1630060879
116-4188573-0889022	0393617432
